WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1732914398.906549  866553 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1732914398.910513  866553 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered

WARNING: You are welcome to use the default MSA server, however keep in mind that it's a
2024-11-30 02:01:46,521 alphafold2_multimer_v3_model_3_seed_001 recycle=10 pLDDT=82.2 pTM=0.515 ipTM=0.458 tol=2.18
2024-11-30 02:02:27,999 alphafold2_multimer_v3_model_3_seed_001 recycle=11 pLDDT=82.7 pTM=0.55 ipTM=0.501 tol=1.67
2024-11-30 02:03:09,479 alphafold2_multimer_v3_model_3_seed_001 recycle=12 pLDDT=82.8 pTM=0.525 ipTM=0.473 tol=0.875
2024-11-30 02:03:50,955 alphafold2_multimer_v3_model_3_seed_001 recycle=13 pLDDT=82.7 pTM=0.599 ipTM=0.548 tol=1.86
2024-11-30 02:04:32,448 alphafold2_multimer_v3_model_3_seed_001 recycle=14 pLDDT=83.4 pTM=0.59 ipTM=0.547 tol=2.55
2024-11-30 02:05:13,939 alphafold2_multimer_v3_model_3_seed_001 recycle=15 pLDDT=83.1 pTM=0.549 ipTM=0.5 tol=1.39
2024-11-30 02:05:55,421 alphafold2_multimer_v3_model_3_seed_001 recycle=16 pLDDT=82.6 pTM=0.599 ipTM=0.549 tol=1.71
2024-11-30 02:06:36,891 alphafold2_multimer_v3_model_3_seed_001 recycle=17 pLDDT=82.6 pTM=0.527 ipTM=0.475 tol=1.29
2024-11-30 02:07:18,345 alphafold2_multimer_v3_model_3_seed_001 recycle=18 pLDDT=82.7 pTM=0.587 ipTM=0.544 tol=1.91
2024-11-30 02:07:59,821 alphafold2_multimer_v3_model_3_seed_001 recycle=19 pLDDT=82.8 pTM=0.548 ipTM=0.495 tol=1.79
2024-11-30 02:08:41,293 alphafold2_multimer_v3_model_3_seed_001 recycle=20 pLDDT=82.8 pTM=0.529 ipTM=0.477 tol=2.35
2024-11-30 02:09:22,781 alphafold2_multimer_v3_model_3_seed_001 recycle=21 pLDDT=82.7 pTM=0.617 ipTM=0.571 tol=1.77
2024-11-30 02:09:22,781 alphafold2_multimer_v3_model_3_seed_001 took 912.4s (21 recycles)
2024-11-30 02:10:05,062 alphafold2_multimer_v3_model_4_seed_001 recycle=0 pLDDT=80 pTM=0.575 ipTM=0.524
2024-11-30 02:10:46,560 alphafold2_multimer_v3_model_4_seed_001 recycle=1 pLDDT=81.8 pTM=0.489 ipTM=0.432 tol=6.1
2024-11-30 02:11:28,015 alphafold2_multimer_v3_model_4_seed_001 recycle=2 pLDDT=82.3 pTM=0.588 ipTM=0.544 tol=5.46
2024-11-30 02:12:09,493 alphafold2_multimer_v3_model_4_seed_001 recycle=3 pLDDT=82.8 pTM=0.505 ipTM=0.449 tol=2.65
2024-11-30 02:12:50,933 alphafold2_multimer_v3_model_4_seed_001 recycle=4 pLDDT=82.6 pTM=0.502 ipTM=0.446 tol=3.33
2024-11-30 02:13:32,413 alphafold2_multimer_v3_model_4_seed_001 recycle=5 pLDDT=82.7 pTM=0.498 ipTM=0.441 tol=1.48
2024-11-30 02:14:13,868 alphafold2_multimer_v3_model_4_seed_001 recycle=6 pLDDT=82.2 pTM=0.524 ipTM=0.471 tol=3.38
2024-11-30 02:14:55,360 alphafold2_multimer_v3_model_4_seed_001 recycle=7 pLDDT=82.7 pTM=0.499 ipTM=0.442 tol=1.59
2024-11-30 02:15:36,851 alphafold2_multimer_v3_model_4_seed_001 recycle=8 pLDDT=82.9 pTM=0.537 ipTM=0.485 tol=1.54
2024-11-30 02:16:18,357 alphafold2_multimer_v3_model_4_seed_001 recycle=9 pLDDT=83 pTM=0.5 ipTM=0.444 tol=1.42
2024-11-30 02:16:59,850 alphafold2_multimer_v3_model_4_seed_001 recycle=10 pLDDT=82.4 pTM=0.507 ipTM=0.451 tol=3.1
2024-11-30 02:17:41,312 alphafold2_multimer_v3_model_4_seed_001 recycle=11 pLDDT=82.6 pTM=0.495 ipTM=0.437 tol=3.53
2024-11-30 02:18:22,814 alphafold2_multimer_v3_model_4_seed_001 recycle=12 pLDDT=82.7 pTM=0.518 ipTM=0.464 tol=1.84
2024-11-30 02:19:04,302 alphafold2_multimer_v3_model_4_seed_001 recycle=13 pLDDT=82.9 pTM=0.493 ipTM=0.435 tol=2.61
2024-11-30 02:19:45,787 alphafold2_multimer_v3_model_4_seed_001 recycle=14 pLDDT=82.6 pTM=0.517 ipTM=0.462 tol=3.69
2024-11-30 02:20:27,287 alphafold2_multimer_v3_model_4_seed_001 recycle=15 pLDDT=83.1 pTM=0.511 ipTM=0.456 tol=3.25
2024-11-30 02:21:08,789 alphafold2_multimer_v3_model_4_seed_001 recycle=16 pLDDT=83 pTM=0.577 ipTM=0.531 tol=2.93
2024-11-30 02:21:50,253 alphafold2_multimer_v3_model_4_seed_001 recycle=17 pLDDT=83.2 pTM=0.502 ipTM=0.446 tol=1.63
2024-11-30 02:22:31,783 alphafold2_multimer_v3_model_4_seed_001 recycle=18 pLDDT=82.9 pTM=0.556 ipTM=0.507 tol=1.95
2024-11-30 02:23:13,321 alphafold2_multimer_v3_model_4_seed_001 recycle=19 pLDDT=83.1 pTM=0.523 ipTM=0.465 tol=2
2024-11-30 02:23:54,879 alphafold2_multimer_v3_model_4_seed_001 recycle=20 pLDDT=83.1 pTM=0.538 ipTM=0.487 tol=3.73
2024-11-30 02:24:36,398 alphafold2_multimer_v3_model_4_seed_001 recycle=21 pLDDT=83.1 pTM=0.508 ipTM=0.453 tol=1.14
2024-11-30 02:24:36,399 alphafold2_multimer_v3_model_4_seed_001 took 912.8s (21 recycles)
2024-11-30 02:25:18,677 alphafold2_multimer_v3_model_5_seed_001 recycle=0 pLDDT=78.6 pTM=0.504 ipTM=0.449
2024-11-30 02:26:00,160 alphafold2_multimer_v3_model_5_seed_001 recycle=1 pLDDT=80.6 pTM=0.491 ipTM=0.434 tol=4.77
2024-11-30 02:26:41,656 alphafold2_multimer_v3_model_5_seed_001 recycle=2 pLDDT=80.8 pTM=0.485 ipTM=0.428 tol=7.54
2024-11-30 02:27:23,166 alphafold2_multimer_v3_model_5_seed_001 recycle=3 pLDDT=81 pTM=0.493 ipTM=0.436 tol=2.63
2024-11-30 02:28:04,687 alphafold2_multimer_v3_model_5_seed_001 recycle=4 pLDDT=81.1 pTM=0.486 ipTM=0.428 tol=2.89
2024-11-30 02:28:46,210 alphafold2_multimer_v3_model_5_seed_001 recycle=5 pLDDT=80.9 pTM=0.482 ipTM=0.424 tol=3.21
2024-11-30 02:29:27,724 alphafold2_multimer_v3_model_5_seed_001 recycle=6 pLDDT=80.4 pTM=0.485 ipTM=0.427 tol=2.17
2024-11-30 02:30:09,244 alphafold2_multimer_v3_model_5_seed_001 recycle=7 pLDDT=80.8 pTM=0.492 ipTM=0.436 tol=2.89
2024-11-30 02:30:50,821 alphafold2_multimer_v3_model_5_seed_001 recycle=8 pLDDT=80.9 pTM=0.49 ipTM=0.432 tol=2.15
2024-11-30 02:31:32,334 alphafold2_multimer_v3_model_5_seed_001 recycle=9 pLDDT=80.8 pTM=0.489 ipTM=0.43 tol=3.31
2024-11-30 02:32:13,832 alphafold2_multimer_v3_model_5_seed_001 recycle=10 pLDDT=80.4 pTM=0.482 ipTM=0.424 tol=3.45
2024-11-30 02:32:55,316 alphafold2_multimer_v3_model_5_seed_001 recycle=11 pLDDT=80.8 pTM=0.487 ipTM=0.43 tol=3.97
2024-11-30 02:33:36,817 alphafold2_multimer_v3_model_5_seed_001 recycle=12 pLDDT=81 pTM=0.486 ipTM=0.426 tol=4.59
2024-11-30 02:34:18,295 alphafold2_multimer_v3_model_5_seed_001 recycle=13 pLDDT=80.8 pTM=0.483 ipTM=0.425 tol=2.67
2024-11-30 02:34:59,782 alphafold2_multimer_v3_model_5_seed_001 recycle=14 pLDDT=80.9 pTM=0.49 ipTM=0.432 tol=6.61
2024-11-30 02:35:41,246 alphafold2_multimer_v3_model_5_seed_001 recycle=15 pLDDT=80.9 pTM=0.49 ipTM=0.433 tol=2.29
2024-11-30 02:36:22,738 alphafold2_multimer_v3_model_5_seed_001 recycle=16 pLDDT=80.5 pTM=0.487 ipTM=0.429 tol=3.28
2024-11-30 02:37:04,218 alphafold2_multimer_v3_model_5_seed_001 recycle=17 pLDDT=80.9 pTM=0.487 ipTM=0.429 tol=2.71
2024-11-30 02:37:45,716 alphafold2_multimer_v3_model_5_seed_001 recycle=18 pLDDT=81.4 pTM=0.502 ipTM=0.447 tol=3.14
2024-11-30 02:38:27,239 alphafold2_multimer_v3_model_5_seed_001 recycle=19 pLDDT=81.3 pTM=0.504 ipTM=0.449 tol=2.29
2024-11-30 02:39:08,750 alphafold2_multimer_v3_model_5_seed_001 recycle=20 pLDDT=81.4 pTM=0.513 ipTM=0.459 tol=2.17
2024-11-30 02:39:50,238 alphafold2_multimer_v3_model_5_seed_001 recycle=21 pLDDT=81.6 pTM=0.515 ipTM=0.461 tol=1.84
2024-11-30 02:39:50,239 alphafold2_multimer_v3_model_5_seed_001 took 913.0s (21 recycles)
2024-11-30 02:39:51,097 reranking models by 'multimer' metric
2024-11-30 02:39:51,097 rank_001_alphafold2_multimer_v3_model_3_seed_001 pLDDT=82.7 pTM=0.617 ipTM=0.571
2024-11-30 02:39:51,097 rank_002_alphafold2_multimer_v3_model_3_seed_000 pLDDT=83.1 pTM=0.547 ipTM=0.494
2024-11-30 02:39:51,097 rank_003_alphafold2_multimer_v3_model_5_seed_000 pLDDT=81.7 pTM=0.515 ipTM=0.461
2024-11-30 02:39:51,097 rank_004_alphafold2_multimer_v3_model_5_seed_001 pLDDT=81.6 pTM=0.515 ipTM=0.461
2024-11-30 02:39:51,097 rank_005_alphafold2_multimer_v3_model_4_seed_001 pLDDT=83.1 pTM=0.508 ipTM=0.453
2024-11-30 02:39:51,097 rank_006_alphafold2_multimer_v3_model_4_seed_000 pLDDT=82.8 pTM=0.499 ipTM=0.442
2024-11-30 02:39:51,097 rank_007_alphafold2_multimer_v3_model_1_seed_000 pLDDT=83.7 pTM=0.496 ipTM=0.419
2024-11-30 02:39:51,098 rank_008_alphafold2_multimer_v3_model_1_seed_001 pLDDT=83.2 pTM=0.495 ipTM=0.417
2024-11-30 02:39:51,098 rank_009_alphafold2_multimer_v3_model_2_seed_001 pLDDT=82.3 pTM=0.496 ipTM=0.408
2024-11-30 02:39:51,098 rank_010_alphafold2_multimer_v3_model_2_seed_000 pLDDT=82.3 pTM=0.494 ipTM=0.4
2024-11-30 02:39:52,681 Done
